model;type;price;km;location;year;link
Audi E-tron;50 Advanced Prestige quattro;579900;12.000;Odense;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1738782
Audi E-tron;50 S-line quattro;644900;11.000;Kastrup;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-s-line-quattro/1738721
Audi E-tron;55 Advanced Prestige quattro;799900;23.000;Aalborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-prestige-quattro/1738258
Audi E-tron;50 Advanced Prestige quattro;659900;16.000;Aalborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1746300
Audi E-tron;50 S-line Sportback quattro;659900;6.000;Kastrup;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-s-line-sportback-quattro/1738738
Audi E-tron;55 S-line Sportback quattro;869900;12.000;Holbæk;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1757182
Audi E-tron;50 Advanced Prestige Sportback quattro;639900;5.000;Odense;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-sportback-quattro/1775508
Audi E-tron;50 S-line Prestige Sportback quattro;644900;6.000;Aalborg;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-s-line-prestige-sportback-quattro/1738276
Tesla Model S;Ludicrous Performance AWD;799900;34.000;Aalborg;2019;https://www.biltorvet.dk/elbiler/tesla/model-s/ludicrous-performance-awd/1763182
Audi E-tron;55 Advanced quattro;629800;16.000;Skanderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1731388
Audi E-tron;55 Advanced quattro;649900;27.000;Silkeborg;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1657486
Audi E-tron;55 Advanced quattro;789900;6.000;Køge;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1730340
Audi E-tron;55 Advanced quattro;629900;48.000;Silkeborg;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1684011
Audi E-tron;50 Prestige quattro;559900;21.000;Fredericia;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/50-prestige-quattro/1758145
Audi E-tron;55 Advanced quattro;749900;9.000;Daugård;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1672212
Audi E-tron;50 quattro;489900;5.000;Viborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-quattro/1682581
Audi E-tron;50 quattro;489900;5.000;Åbyhøj;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-quattro/1682582
Audi E-tron;55 Advanced quattro;649900;23.000;Silkeborg;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1710108
Audi E-tron;55 Advanced quattro;749900;23.000;Fredericia;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1627727
Audi E-tron;55 Advanced quattro;699900;8.000;Silkeborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1657509
Audi E-tron;55 Advanced quattro;649900;22.000;Svendborg;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1699601
Audi E-tron;55 S-line quattro;779900;8.000;Daugård;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-quattro/1656460
Audi E-tron;55 Advanced quattro;669900;6.000;Odense;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1657997
Audi E-tron;55 Advanced quattro;619900;2.000;Rødovre;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1766473
Audi E-tron;50 Advanced Sportback quattro;649900;5.000;Silkeborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-sportback-quattro/1657420
Audi E-tron;55 S-line quattro;839000;6.000;Thisted;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-quattro/1771135
Audi E-tron;55 Advanced quattro;500000;10.000;Albertslund;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1614871
Audi E-tron;55 Advanced quattro;739800;9.000;Viby;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1638430
Audi E-tron;55 Advanced quattro;635000;31.000;Agerskov;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1678061
Audi E-tron;55 Advanced quattro;599800;11.000;Sønderborg;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1725053
Audi E-tron;55 Advanced quattro;745000;10.000;Sønderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1725054
Audi E-tron;55 Advanced quattro;609800;26.000;Frederikshavn;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1749515
Audi E-tron;55 Advanced quattro;599900;26.000;Søborg;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1760294
Audi E-tron;55 Advanced quattro;654700;15.000;Køge;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1772558
Audi E-tron;EL Quattro 408HK 5d Trinl. Gear;599800;5.789;Hobro;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/el-quattro-408hk-5d-trinl--gear/1741412
Audi E-tron;55 S-line Sportback quattro;879900;17.000;Randers;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1721602
Audi E-tron;EL Quattro 408HK 5d Trinl. Gear;644900;7.000;Birkerød;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/el-quattro-408hk-5d-trinl--gear/1744143
Audi E-tron;Sportback EL Advanced Prestige Quattro 313HK 5d Trinl. Gear;679800;5.900;Greve;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/sportback-el-advanced-prestige-quattro-313hk-5d-trinl--gear/1764830
Audi E-tron;EL Advanced Prestige Quattro 408HK 5d Trinl. Gear;638800;18.900;Greve;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/el-advanced-prestige-quattro-408hk-5d-trinl--gear/1610658
Audi E-tron;EL Advanced Prestige Quattro 408HK 5d Trinl. Gear;658800;3.000;Greve;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/el-advanced-prestige-quattro-408hk-5d-trinl--gear/1663672
Audi E-tron;55 S-line quattro;799800;8.000;Sønderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-quattro/1656761
Audi E-tron;55 Advanced Prestige quattro;799800;12.000;Sønderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-prestige-quattro/1662860
Audi E-tron;55 Advanced Prestige quattro;799800;19.000;Sønderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-prestige-quattro/1672200
Audi E-tron;55 Advanced Prestige quattro;739800;14.000;Sønderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-prestige-quattro/1672246
Audi E-tron;50 Advanced Prestige Sportback quattro;679900;5.000;Næstved;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-sportback-quattro/1697181
Audi E-tron;55 S-line quattro;769900;22.000;Randers;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-quattro/1697372
Audi E-tron;55 S-line quattro;785000;4.000;Odense;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-quattro/1707116
Audi E-tron;55 S-line quattro;719800;17.000;Ribe;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-quattro/1769405
Audi E-tron;50 Advanced Prestige quattro;529900;14.000;Roskilde;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1776151
Audi E-tron;55 S-line Sportback quattro;799800;19.000;Ribe;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1761752
Audi E-tron;EL Advanced Quattro 313HK 5d Trinl. Gear;579900;21.000;Birkerød;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/el-advanced-quattro-313hk-5d-trinl--gear/1771714
Audi E-tron;Sportback el EL S Line Prestige Quattro 313HK 5d Aut.;638800;12;Greve;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/sportback-el-el-s-line-prestige-quattro-313hk-5d-aut/1730525
Audi E-tron;Sportback EL S Line Prestige Quattro 313HK 5d Trinl. Gear;638800;8.900;Greve;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/sportback-el-s-line-prestige-quattro-313hk-5d-trinl--gear/1742664
Audi E-tron;Sportback EL S Line Prestige Quattro 313HK 5d Trinl. Gear;638800;-;Greve;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/sportback-el-s-line-prestige-quattro-313hk-5d-trinl--gear/1746048
Audi E-tron;el EL Advanced Quattro 408HK 5d Aut.;619000;16.500;Brædstrup;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/el-el-advanced-quattro-408hk-5d-aut/1452873
Audi E-tron;EL Advanced Prestige Quattro 408HK 5d Trinl. Gear;628800;14.900;Greve;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/el-advanced-prestige-quattro-408hk-5d-trinl--gear/1594487
Audi E-tron;55 S-line Sportback quattro;904900;11.000;Viby;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1638431
Audi E-tron;55 S-line Sportback quattro;874900;18.000;Viby;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1642957
Audi E-tron;55 S-line Sportback quattro;875000;7.000;Sønderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1655303
Audi E-tron;el EL Prestige Quattro 408HK 5d Aut.;629900;30.000;Birkerød;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/el-el-prestige-quattro-408hk-5d-aut/1669938
Audi E-tron;55 S-line Sportback quattro;855000;11.000;Sønderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1672278
Audi E-tron;55 S-line Sportback quattro;875000;7.000;Sønderborg;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1675082
Audi E-tron;55 S-line Sportback quattro;779900;22.000;Agerskov;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1678062
Audi E-tron;50 S-line Sportback quattro;659900;2.000;Horsens;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-s-line-sportback-quattro/1696589
Audi E-tron;Sportback EL Advanced Prestige Quattro 408HK 5d Aut.;789800;-;Greve;2021;https://www.biltorvet.dk/elbiler/audi/e-tron/sportback-el-advanced-prestige-quattro-408hk-5d-aut/1708599
Audi E-tron;EL Advanced Prestige Quattro 408HK 5d Trinl. Gear;664800;15.900;Greve;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/el-advanced-prestige-quattro-408hk-5d-trinl--gear/1750312
Audi E-tron;55 S-line Sportback quattro;799800;18.000;Ribe;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/55-s-line-sportback-quattro/1751260
Audi E-tron;50 Advanced Prestige quattro;560000;17.000;Rødovre;2020;https://www.biltorvet.dk/elbiler/audi/e-tron/50-advanced-prestige-quattro/1745094
Audi E-tron;55 Advanced quattro;829800;18.000;Nordhavn;2019;https://www.biltorvet.dk/elbiler/audi/e-tron/55-advanced-quattro/1635596
Porsche Taycan;;999900;6.000;Kokkedal;2020;https://www.biltorvet.dk/elbiler/porsche/taycan/-/1767207
