model;price;km;location;year
Audi e-tron 50 Advanced Prestige quattro ;560.000 kr.;17.000;København;2020
Audi e-tron 55 Advanced quattro ;799.900 kr.;20.000;København;2019
Audi e-tron 50 S-line quattro ;639.900 kr.;8.000;København;2021
Audi e-tron 55 Advanced quattro ;779.900 kr.;14.000;København;2019
Audi e-tron 55 quattro ;599.800 kr.;14.000;Nordjylland;2019
Audi e-tron 55 Advanced quattro ;744.900 kr.;12.000;Østjylland;2020
Audi e-tron 50 Prestige quattro ;574.900 kr.;9.000;København;2020
Audi e-tron 55 S-line Sportback quattro ;799.800 kr.;18.000;Syd- og Sønderjylland;2020
Audi e-tron 50 Prestige quattro ;559.900 kr.;21.000;Syd- og Sønderjylland;2021
Audi e-tron 50 Prestige quattro ;519.900 kr.;9.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;669.900 kr.;6.000;Fyn;2020
Audi e-tron 55 Advanced quattro ;658.800 kr.;3.000;Syd- og Vestsjælland;2019
Audi e-tron 55 S-line Sportback quattro ;779.900 kr.;22.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;635.000 kr.;31.000;Syd- og Sønderjylland;2019
Audi e-tron 55 Advanced quattro ;789.900 kr.;6.000;Syd- og Vestsjælland;2020
Audi e-tron 55 Advanced quattro ;629.900 kr.;48.000;Østjylland;2019
Audi e-tron 50 Advanced Prestige quattro ;569.900 kr.;13.000;Nordjylland;2020
Audi e-tron 55 Advanced quattro ;839.900 kr.;11.000;Fyn;2020
Audi e-tron S quattro ;1.259.900 kr.;4.000;København;2021
Audi e-tron 50 S-line quattro ;644.900 kr.;11.000;København;2021
Audi e-tron 55 Advanced Prestige quattro ;759.900 kr.;9.000;Syd- og Sønderjylland;2020
Audi e-tron 55 S-line Sportback quattro ;849.800 kr.;7.000;Syd- og Sønderjylland;2020
Audi e-tron 55 S-line Sportback quattro ;799.800 kr.;19.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;779.900 kr.;19.000;Østjylland;2019
Audi e-tron 55 Advanced quattro ;749.900 kr.;9.000;Syd- og Vestsjælland;2019
Audi e-tron 50 Advanced quattro ;579.900 kr.;4.000;København;2021
Audi e-tron 50 Advanced Sportback quattro ;649.900 kr.;5.000;Østjylland;2020
Audi e-tron 55 Advanced quattro ;649.900 kr.;27.000;Østjylland;2019
Audi e-tron 55 S-line Sportback quattro ;904.900 kr.;11.000;Østjylland;2020
Audi e-tron 55 Advanced quattro ;739.800 kr.;9.000;Østjylland;2020
Audi e-tron 50 Prestige quattro ;529.900 kr.;6.000;Nordsjælland;2020
Audi e-tron 55 Advanced quattro ;619.800 kr.;25.000;Østjylland;2019
Audi e-tron 55 Advanced quattro ;745.000 kr.;10.000;Syd- og Sønderjylland;2020
Audi e-tron 55 Advanced quattro ;599.800 kr.;11.000;Syd- og Sønderjylland;2019
Audi e-tron 55 Advanced quattro ;619.000 kr.;36.000;Syd- og Sønderjylland;2019
Audi e-tron 55 Advanced quattro ;479.900 kr.;13.000;Østjylland;2019
Audi e-tron 50 S-line quattro ;5.844 kr.;14.000;Nordjylland;2020
Audi e-tron 55 Advanced quattro ;490.000 kr.;31.000;København;2019
Audi e-tron 55 Advanced quattro ;649.900 kr.;22.000;Fyn;2019
Audi e-tron 55 Advanced quattro ;699.900 kr.;8.000;Østjylland;2020
Audi e-tron 55 Advanced quattro ;619.900 kr.;2.000;København;2020
Audi e-tron 55 Advanced quattro ;789.900 kr.;6.000;Syd- og Vestsjælland;2020
Audi e-tron 55 Advanced quattro ;629.900 kr.;48.000;Østjylland;2019
Audi e-tron 50 Advanced Prestige quattro ;569.900 kr.;13.000;Nordjylland;2020
